case_id,symptom,topology_notes,show_outputs,expected_fault,osi_layer,concept,severity,expected_next_command,expected_fix
LAB-13,Host cannot reach same LAN peer,Authored addressing lab,"PC IP 192.168.1.10 255.255.0.0; peer 192.168.2.10 255.255.255.0",Wrong subnet mask,Layer 3,Subnet mask,high,ipconfig /all,Use matching /24 mask
LAB-14,Intermittent connectivity for two PCs,Authored addressing lab,"PC-A ip address 192.168.10.25; PC-B ip address 192.168.10.25",Duplicate IP address,Layer 3,Duplicate IP,high,ipconfig /all,Assign unique IP address
LAB-15,Host can reach local peers but not router,Authored gateway lab,"default gateway mismatch different subnet; host 192.168.10.20/24 gateway 192.168.20.1",Wrong default gateway,Layer 3,Default gateway,high,ipconfig /all,Set gateway 192.168.10.1
LAB-16,VLAN 40 users isolated,Authored VLAN lab,"show vlan brief: VLAN 40 not active",VLAN 40 missing,Layer 2,VLAN,high,show vlan brief,Create and activate VLAN 40
LAB-17,Remote subnet unreachable,Authored routing lab,"show ip route: network 172.16.5.0 not in table",Missing route,Layer 3,Static routing,high,show ip route,Add static route
LAB-18,RIP routes not learned,Authored RIP lab,"show ip route: no R entries; show running-config: router rip version 1",RIP version mismatch,Layer 3,Dynamic routing,medium,show running-config,Use RIP version 2 consistently
LAB-19,Guest Wi-Fi reaches internal server,Authored security lab,"show access-lists: permit ip 10.50.0.0 0.0.0.255 any",Guest isolation ACL missing,Layer 3,ACL,high,show access-lists,Restrict guest VLAN from internal networks
LAB-20,Internet works one direction only,Authored NAT lab,"show ip nat translations: none; show running-config: ip nat outside missing",NAT outside interface missing,Layer 3,NAT,high,show running-config,Mark WAN interface ip nat outside
LAB-21,New client cannot obtain lease,Authored DHCP lab,"show ip dhcp binding: pool exhausted",DHCP pool exhausted,Layer 7,DHCP,medium,show ip dhcp pool,Expand pool or release stale leases
LAB-22,DNS name fails after server move,Authored DNS lab,"nslookup intranet fails; ping DNS server succeeds",DNS record missing,Layer 7,DNS,medium,nslookup intranet,Update DNS A record
LAB-23,Native VLAN warnings on switches,Authored trunk lab,"show interfaces trunk: native vlan mismatch",Native VLAN mismatch,Layer 2,Trunk,medium,show interfaces trunk,Align native VLAN on both ends
LAB-24,Port is err-disabled after connection,Authored switch lab,"show interfaces: Fa0/8 administratively down",Port shutdown,Layer 1,Interface,high,show interfaces,Investigate then enable port
LAB-25,Router cannot forward to ISP,Authored routing lab,"show ip route: Gateway of last resort is not set",Default route missing,Layer 3,Static routing,high,show ip route,Configure default route
LAB-26,Wireless clients associate but no access,Authored wireless lab,"show wireless: SSID Guest VLAN mapping missing",SSID VLAN mapping missing,Layer 2,Wireless,medium,show wireless,Map SSID to guest VLAN
LAB-27,Server VLAN cannot use gateway,Authored inter-VLAN lab,"show vlan brief: 30 active; show ip interface brief: Vlan30 administratively down down",SVI shutdown,Layer 3,Inter-VLAN routing,high,show ip interface brief,Enable Vlan30 SVI
LAB-28,ACL permits unexpectedly blocked SSH,Authored ACL lab,"show access-lists: deny tcp any any eq 22",ACL explicitly denies SSH,Layer 3,ACL,high,show access-lists,Add appropriate permit before deny
LAB-29,New VLAN cannot cross switch link,Authored trunk lab,"show interfaces trunk: Gi0/2 trunking off",Trunk disabled,Layer 2,Trunk,high,show interfaces trunk,Set both ports to trunk mode
LAB-30,Client got address but not correct gateway,Authored DHCP lab,"show ip dhcp binding: 192.168.60.10; default gateway mismatch different subnet",DHCP default-router option wrong,Layer 3,DHCP,high,show running-config,Correct DHCP default-router option
LAB-31,PC VLAN 30 server access fails,Polished authored demo scenario,"PC gets IP 192.168.10.20; gateway ping works; show interfaces trunk: Gi0/1 trunking on allowed 10,20; VLAN 30 not allowed",VLAN 30 missing from trunk allowed VLANs,Layer 2,Inter-VLAN routing,high,show interfaces trunk,Allow VLAN 30 and verify routing ACLs
